sex;age;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100
1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010846949430041164;0.002169389886008233;0.005457560883476376;0.008745731880944518;0.012033902878412661;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804;0.015322073875880804
1;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.370378673079216e-05;0.003381874784198935;0.006670045781667078;0.00995821677913522;0.013246387776603363;0.016534558774071506;0.01982272977153965;0.02311090076900779;0.026399071766475934;0.029687242763944077;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222;0.03297541376141222
1;5;0.0;0.0;0.0;0.0;0.0;0.001306188684919718;0.004594359682387861;0.007882530679856004;0.011170701677325923;0.014458872674794065;0.017747043672262208;0.02103521466973035;0.024323385667198494;0.027611556664666637;0.03089972766213478;0.03418789865960292;0.037476069657071065;0.04076424065453921;0.04405241165200735;0.04734058264947549;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636;0.050628753646943636
1;6;0.00251867358311042;0.005806844580578563;0.009095015578046706;0.012383186575514848;0.01567135757298299;0.018959528570451134;0.022247699567919277;0.02553587056538742;0.02882404156285645;0.03211221256032459;0.035400383557792736;0.03868855455526088;0.04197672555272902;0.045264896550197165;0.04855306754766531;0.05184123854513345;0.05512940954260159;0.058417580540069736;0.06170575153753788;0.06499392253500602;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416;0.06828209353247416
1;7;0.020172013468641836;0.02346018446610998;0.026748355463578122;0.030036526461046265;0.03332469745851441;0.03661286845598255;0.03990103945345069;0.043189210450918836;0.04647738144838787;0.04976555244585601;0.05305372344332415;0.056341894440792295;0.05963006543826044;0.06291823643572858;0.06620640743319672;0.06949457843066487;0.07278274942813301;0.07607092042560115;0.0793590914230693;0.08264726242053744;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558;0.08593543341800558
1;8;0.03782535335417325;0.041113524351641395;0.04440169534910954;0.04768986634657768;0.05097803734404582;0.054266208341513966;0.05755437933898211;0.06084255033645025;0.06413072133391928;0.06741889233138743;0.07070706332885557;0.07399523432632371;0.07728340532379185;0.08057157632126;0.08385974731872814;0.08714791831619628;0.09043608931366443;0.09372426031113257;0.09701243130860071;0.10030060230606885;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537;0.103588773303537
1;9;0.05547869323970467;0.05876686423717281;0.062055035234640954;0.0653432062321091;0.06863137722957724;0.07191954822704538;0.07520771922451353;0.07849589022198167;0.0817840612194507;0.08507223221691884;0.08836040321438698;0.09164857421185513;0.09493674520932327;0.09822491620679141;0.10151308720425956;0.1048012582017277;0.10808942919919584;0.11137760019666398;0.11466577119413213;0.11795394219160027;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841;0.12124211318906841
