sex;age;fruit;wholegrains;greens;meat;salt
1;0;0.0;0.0;0.0;0.0;0.0
1;1;0.0;0.0;0.0;0.0;0.0
1;2;0.0;0.0;0.0;0.0;0.0
1;3;0.0;0.0;0.0;0.0;0.0
1;4;0.0;0.0;0.0;0.0;0.0
1;5;0.0;0.0;0.0;0.0;0.0
1;6;0.0;0.0;0.0;0.0;0.0
1;7;0.0;0.0;0.0;0.0;0.0
1;8;0.0;0.0;0.0;0.0;0.0
1;9;0.0;0.0;0.0;0.0;0.0
1;10;0.0;0.0;0.0;0.0;0.0
1;11;0.0;0.0;0.0;0.0;0.0
1;12;0.0;0.0;0.0;0.0;0.0
1;13;0.0;0.0;0.0;0.0;0.0
1;14;0.0;0.0;0.0;0.0;0.0
1;15;0.0;0.0;0.0;0.0;0.0
1;16;0.0;0.0;0.0;0.0;0.0
1;17;0.0;0.0;0.0;0.0;0.0
1;18;0.928454037472443;0.929787958357261;0.847225827511054;0.835703522996535;0.882433970191799
1;19;0.926551350909038;0.929307264566822;0.833249724660675;0.837519026120819;0.88446418325201
1;20;0.924602173586699;0.928823537525336;0.818376348852192;0.839322997058703;0.88646040468677
1;21;0.922605589785224;0.92833677012658;0.802767257701627;0.841121840540624;0.888417202616888
1;22;0.920560677521902;0.927846957488513;0.786665651950453;0.842922690609049;0.89032652295972
1;23;0.918466509183651;0.927354095682349;0.770371194160728;0.844731973690942;0.892177991947835
1;24;0.916322152200845;0.926858180738753;0.754208430387194;0.846554249185459;0.89395940097003
1;25;0.914126669761119;0.926359208010632;0.738494432466033;0.848391359559841;0.895657392561567
1;26;0.911879121562674;0.925857171924469;0.723511813744111;0.850241902843219;0.897258315795474
1;27;0.909578564608557;0.925352066094019;0.709491856203686;0.852101016396305;0.898749173330286
1;28;0.907224054045652;0.924843883713238;0.6966096902952;0.853960437029422;0.9001185515271
1;29;0.904814644054314;0.924332618100758;0.684990353465174;0.855808783639424;0.90135741508744
1;30;0.902349388796234;0.923818263245059;0.674722109957887;0.857631997875208;0.902459659219763
1;31;0.899827343428936;0.923300814202406;0.665872186657284;0.859413877270705;0.903422341976134
1;32;0.897247565195005;0.922780267229027;0.658500120413932;0.861136643023869;0.904245561285922
1;33;0.894609114592748;0.922256619580072;0.65266495613965;0.86278149861164;0.904931988740869
1;34;0.891911056632642;0.921729868972255;0.648424201178505;0.864329152162445;0.905486118938073
1;35;0.889152462180937;0.921200012773375;0.645824359388278;0.865760291295855;0.905913333249032
1;36;0.886332409388587;0.920667047038627;0.644884720192306;0.867056011022247;0.906218904867664
1;37;0.883449985200774;0.920130965550378;0.645577599845846;0.868198201562156;0.906407083314654
1;38;0.880504286940003;0.919591759028015;0.647809207648061;0.869169903324985;0.906480388241403
1;39;0.877494423954397;0.919049414655171;0.651405566995318;0.869955631804595;0.906439214082043
1;40;0.874419519322484;0.918503916025812;0.65610734559171;0.870541667735746;0.906281802090335
1;41;0.871278711606318;0.917955243545637;0.661576030601651;0.870916299850989;0.906004581327855
1;42;0.868071156645936;0.917403375251807;0.667411802312975;0.871070001258219;0.905602824321624
1;43;0.864796029389568;0.916848287944636;0.673181152721736;0.870995517673017;0.905071515752068
1;44;0.861452525755232;0.916289958471398;0.678450410091594;0.870687847687787;0.904406301201903
1;45;0.858039864520063;0.915728364974174;0.682820484519055;0.870144102390636;0.903604371989876
1;46;0.854557289233821;0.915163487915827;0.685958597966678;0.869363243617857;0.902665152195603
1;47;0.851004070152381;0.914595310730616;0.687624196505041;0.868345715785216;0.901590683026792
1;48;0.84737950618608;0.914023820003581;0.687687906068469;0.867093003653561;0.900385643634941
1;49;0.843682926856825;0.913449005155967;0.686143477312845;0.865607164905773;0.899057001048856
1;50;0.839913694257443;0.912870857690581;0.683112745380686;0.863890398960024;0.897613338682707
1;51;0.836071205007343;0.912289370118109;0.678842889508923;0.861944718930989;0.896063965362581
1;52;0.832154892200383;0.911704534732073;0.673694414407885;0.859771789585497;0.8944179466472
1;53;0.828164227344107;0.911116342418432;0.66811815013698;0.857372979259747;0.892683219360208
1;54;0.824098722293739;0.910524781673307;0.662620732644242;0.854749648459955;0.890865942942815
1;55;0.819957931189103;0.909929837961307;0.657720366044281;0.851903664595138;0.888970206095636
1;56;0.815741452406957;0.909331493485142;0.653897369176602;0.848838095029103;0.886998148492252
1;57;0.811448930544204;0.908729727365632;0.651545971232018;0.845557994632721;0.884950484778701
1;58;0.807080058448056;0.908124516162496;0.650934261305547;0.842071175039217;0.882827344715494
1;59;0.802634579306889;0.907515834612665;0.652178036365949;0.838388826421804;0.880629282748549
1;60;0.798112288809818;0.906903656433436;0.655232048123116;0.834525863442458;0.878358273684107
1;61;0.793513037374385;0.906287955037561;0.659899487861511;0.830500887944715;0.876018505303028
1;62;0.788836732430851;0.905668704035913;0.665857932095879;0.826335702273021;0.873616805383362
1;63;0.784083340739839;0.905045877454906;0.672697661985515;0.822054365687617;0.871162596444155
1;64;0.779252890709186;0.904419449660703;0.679966546322879;0.81768185523496;0.868667348863084
1;65;0.774345474667468;0.90378939504782;0.687214938574083;0.81324246111085;0.866143590325291
1;66;0.769361251047519;0.903155687603684;0.694034601306807;0.808758102381999;0.863603612453088
1;67;0.76430044643428;0.902518300492307;0.700087465728742;0.804246779675731;0.861058078503169
1;68;0.759163357438044;0.901877205803098;0.705122499340287;0.799721378335077;0.858514765523079
1;69;0.753950352365977;0.901232374583537;0.708981283505289;0.795188995932222;0.855977661863242
1;70;0.748661872680615;0.900583777221275;0.711594449031315;0.790650896738;0.853446586110107
