sex;age;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100
1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;8;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.019521857554082978;0.017315031539606007;0.015108205525129037;0.012901379510652067;0.010694553496175097;0.008487727481697682;0.006280901467220268;0.004074075452743298;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274;0.0018672494382663274
1;9;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04635619275299341;0.04414936673851644;0.04194254072403947;0.0397357147095625;0.03752888869508553;0.03532206268060811;0.0331152366661307;0.030908410651653728;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758;0.028701584637176758
