year;sex;age;rate
2000;1;0;0.00561990561990562
2000;1;1;0.0063111599780099
2000;1;2;0.00601331982671293
2000;1;3;0.00476730016888642
2000;1;4;0.00512386065548672
2000;1;5;0.00518925804850177
2000;1;6;0.00493475352296224
2000;1;7;0.00453541109431329
2000;1;8;0.00364370244143769
2000;1;9;0.00345052332937162
2000;1;10;0.00303830709803502
2000;1;11;0.00260980933892885
2000;1;12;0.00212746658310726
2000;1;13;0.00256213169356905
2000;1;14;0.0022330201150452
2000;1;15;0.00183720524338377
2000;1;16;0.00183679326509136
2000;1;17;0.00174180227608545
2000;1;18;0.00160784161791484
2000;1;19;0.0031845278549098
2000;1;20;0.00451828493434367
2000;1;21;0.00645767063963515
2000;1;22;0.00656649313771888
2000;1;23;0.00652879426684305
2000;1;24;0.00686622005307403
2000;1;25;0.00773179988904251
2000;1;26;0.00854154030227747
2000;1;27;0.00851490107688455
2000;1;28;0.00916832523083951
2000;1;29;0.00838915367770192
2000;1;30;0.00817284484911031
2000;1;31;0.00815330200428422
2000;1;32;0.00847377240964998
2000;1;33;0.00810123588197032
2000;1;34;0.00766049611524177
2000;1;35;0.00692972621071287
2000;1;36;0.00659549332115704
2000;1;37;0.00692507901096858
2000;1;38;0.00668336151944842
2000;1;39;0.00598917921402508
2000;1;40;0.00651493647509447
2000;1;41;0.00455328264796068
2000;1;42;0.00470191700021066
2000;1;43;0.00435715243330205
2000;1;44;0.00397211280141084
2000;1;45;0.0037760976390961
2000;1;46;0.00391278605812547
2000;1;47;0.00358844687012326
2000;1;48;0.00326607574265343
2000;1;49;0.00277324077854907
2000;1;50;0.00292195933606591
2000;1;51;0.00277123894850377
2000;1;52;0.00269800621913298
2000;1;53;0.00296588479720575
2000;1;54;0.00262796481199659
2000;1;55;0.0021789418700097
2000;1;56;0.00186277553554797
2000;1;57;0.00196856798880682
2000;1;58;0.00205801472545019
2000;1;59;0.00194043275693048
2000;1;60;0.00208539478864098
2000;1;61;0.00207258314370266
2000;1;62;0.00173284873580808
2000;1;63;0.00190333440395894
2000;1;64;0.00153901527845006
2000;1;65;0.00231120806066272
2000;1;66;0.00169769989047097
2000;1;67;0.00157684293518049
2000;1;68;0.00149119779081809
2000;1;69;0.00138218950100138
2000;1;70;0.00107825889563589
2000;1;71;0.000979926357049531
2000;1;72;0.000888020602077968
2000;1;73;0.000774797390482389
2000;1;74;0.000687006214283484
2000;1;75;0.000725597829516058
2000;1;76;0.00058968058968059
2000;1;77;0.000531764627681672
2000;1;78;0.000532812361246781
2000;1;79;0.000564224631931588
2000;1;80;0.000466292437095357
2000;1;81;0.000469582775703787
2000;1;82;0.000263289539506595
2000;1;83;0.000286057554780022
2000;1;84;0.000456130062229173
2000;1;85;0.000378644452858766
2000;1;86;8.42672958624758e-05
2000;1;87;0.000198629456748436
2000;1;88;0.000364387222154743
2000;1;89;0.000146735143066765
2000;1;90;0.000924214417744917
2000;1;91;0
2000;1;92;0
2000;1;93;0.00088948187680676
2000;1;94;0
2000;1;95;0.00194269062651773
2000;1;96;0.00290065264684554
2000;1;97;0
2000;1;98;0
2000;1;99;0
2000;1;100;0
2000;2;0;0.00565938705187011
2000;2;1;0.00563204727226563
2000;2;2;0.00649885583524028
2000;2;3;0.00560110672470223
2000;2;4;0.00510937250518921
2000;2;5;0.00423753985069603
2000;2;6;0.00452705822702292
2000;2;7;0.00395277474384979
2000;2;8;0.00399867263978762
2000;2;9;0.00299920944750976
2000;2;10;0.00335869766096438
2000;2;11;0.00294260224692345
2000;2;12;0.00233134964109486
2000;2;13;0.00232018561484919
2000;2;14;0.0026470282381191
2000;2;15;0.00226398891426118
2000;2;16;0.0022165058513721
2000;2;17;0.00186834402441303
2000;2;18;0.00190884740509642
2000;2;19;0.00800486371466207
2000;2;20;0.0087960093273119
2000;2;21;0.00956034345682938
2000;2;22;0.0098938051288341
2000;2;23;0.00886697548659019
2000;2;24;0.00981344827254447
2000;2;25;0.00983400562723655
2000;2;26;0.00965709564139641
2000;2;27;0.0100994406463642
2000;2;28;0.00946361577719945
2000;2;29;0.00948176390909547
2000;2;30;0.00865193899186102
2000;2;31;0.00834798271517272
2000;2;32;0.0076497809083091
2000;2;33;0.00652536169815141
2000;2;34;0.00610065309258548
2000;2;35;0.00569299165180929
2000;2;36;0.00593390750085366
2000;2;37;0.00495606009633137
2000;2;38;0.0051201529219006
2000;2;39;0.00491223761195077
2000;2;40;0.00415576147697531
2000;2;41;0.00402301374676095
2000;2;42;0.00316313888815668
2000;2;43;0.00320845522317637
2000;2;44;0.00261967340255935
2000;2;45;0.0025072840925793
2000;2;46;0.00229396246724486
2000;2;47;0.00244431438702792
2000;2;48;0.00213984952025954
2000;2;49;0.00177123309080174
2000;2;50;0.00212291156485328
2000;2;51;0.00204763961542769
2000;2;52;0.00189686015668373
2000;2;53;0.00160942972540063
2000;2;54;0.00153266007572251
2000;2;55;0.00155256827073101
2000;2;56;0.00155253934275835
2000;2;57;0.00134934781522264
2000;2;58;0.00115376162918468
2000;2;59;0.00143397076748164
2000;2;60;0.0015318891861569
2000;2;61;0.00121471725857494
2000;2;62;0.00141502133586858
2000;2;63;0.00118515075814791
2000;2;64;0.00109113335547227
2000;2;65;0.0014729930469735
2000;2;66;0.00108673675697533
2000;2;67;0.00131874951516562
2000;2;68;0.000968956136101069
2000;2;69;0.000998302885095338
2000;2;70;0.000928822839264763
2000;2;71;0.000610143637981442
2000;2;72;0.000889229211179587
2000;2;73;0.000588702039980547
2000;2;74;0.000761025354828072
2000;2;75;0.000327773785661158
2000;2;76;0.000583623030272273
2000;2;77;0.000540345821325649
2000;2;78;0.000601590290855828
2000;2;79;0.000452756153081886
2000;2;80;0.000424030031303393
2000;2;81;0.00070173200216899
2000;2;82;0.000236016049091338
2000;2;83;0.000351142089646575
2000;2;84;0.000231602107579179
2000;2;85;0.000334567049327729
2000;2;86;0.000358840943751682
2000;2;87;0.000301537842999296
2000;2;88;0.000279782888478541
2000;2;89;0.000334358700013374
2000;2;90;0.000238199213942594
2000;2;91;0
2000;2;92;0.000353107344632768
2000;2;93;0
2000;2;94;0.000400520676879944
2000;2;95;0
2000;2;96;0
2000;2;97;0
2000;2;98;0
2000;2;99;0
2000;2;100;0.00432276657060519
2001;1;0;0.00594000594000594
2001;1;1;0.00617343083096508
2001;1;2;0.00587644180356519
2001;1;3;0.00473984472182902
2001;1;4;0.00478336663973809
2001;1;5;0.0044522601827663
2001;1;6;0.00391908032248432
2001;1;7;0.00400270312418776
2001;1;8;0.00337815460025171
2001;1;9;0.00308451090147571
2001;1;10;0.00263017050233198
2001;1;11;0.00266277141248612
2001;1;12;0.00221540832544027
2001;1;13;0.0021181570391777
2001;1;14;0.0018301803783546
2001;1;15;0.0016725681037704
2001;1;16;0.0019576274287387
2001;1;17;0.00142787788788303
2001;1;18;0.00187016022987386
2001;1;19;0.00297142416115152
2001;1;20;0.00423724714372781
2001;1;21;0.00562714534916437
2001;1;22;0.00638941074374648
2001;1;23;0.00724311414756377
2001;1;24;0.00635693131873314
2001;1;25;0.00757116342319496
2001;1;26;0.00823655670049123
2001;1;27;0.00786713286713287
2001;1;28;0.00837548718799237
2001;1;29;0.00802711380663575
2001;1;30;0.00819278650750472
2001;1;31;0.00780978539636315
2001;1;32;0.00700363396101751
2001;1;33;0.00746556625690053
2001;1;34;0.00703384207033842
2001;1;35;0.00680133996548574
2001;1;36;0.0066711429747233
2001;1;37;0.00578682773337191
2001;1;38;0.00556943617194087
2001;1;39;0.00604205072399035
2001;1;40;0.00606781877000956
2001;1;41;0.00464548303630138
2001;1;42;0.00475254840714058
2001;1;43;0.0043834507873352
2001;1;44;0.00415674968991988
2001;1;45;0.0044365279633203
2001;1;46;0.00330584088110779
2001;1;47;0.00374609066226759
2001;1;48;0.00299236028686538
2001;1;49;0.00295328743080869
2001;1;50;0.00284739982949702
2001;1;51;0.00265230408747722
2001;1;52;0.00260529743812419
2001;1;53;0.00250854664902526
2001;1;54;0.00232790156301962
2001;1;55;0.00235618685456511
2001;1;56;0.00181437857533795
2001;1;57;0.00178182538111265
2001;1;58;0.00196455613309868
2001;1;59;0.00171408675778704
2001;1;60;0.00203663913809432
2001;1;61;0.00188853359658347
2001;1;62;0.00161725067385445
2001;1;63;0.00195456766554165
2001;1;64;0.00149208832200229
2001;1;65;0.00231504781077001
2001;1;66;0.00213537204244381
2001;1;67;0.00119608906691145
2001;1;68;0.00137632435377271
2001;1;69;0.00112603102215466
2001;1;70;0.000807824355904331
2001;1;71;0.00101827068544164
2001;1;72;0.000671745469534816
2001;1;73;0.000945770726870567
2001;1;74;0.000641889723345529
2001;1;75;0.000746123402322715
2001;1;76;0.000526688282831608
2001;1;77;0.000309150865622424
2001;1;78;0.000385234993345941
2001;1;79;0.000489651405864517
2001;1;80;0.00022649201615643
2001;1;81;0.000424874468906914
2001;1;82;0.000306052181897013
2001;1;83;0.00017346555263234
2001;1;84;0.000254955701446874
2001;1;85;0.000439270810454645
2001;1;86;0.000172972972972973
2001;1;87;0.000195551209973112
2001;1;88;0.000705094306363476
2001;1;89;0.000146220207632695
2001;1;90;0.000179694519317161
2001;1;91;0.000232937339855579
2001;1;92;0.000918976872415378
2001;1;93;0.000435161009573542
2001;1;94;0
2001;1;95;0
2001;1;96;0
2001;1;97;0
2001;1;98;0.0033500837520938
2001;1;99;0
2001;1;100;0.00694444444444444
2001;2;0;0.00545930337484209
2001;2;1;0.00629023316853526
2001;2;2;0.00544267468584562
2001;2;3;0.00530582502163319
2001;2;4;0.00485936940164816
2001;2;5;0.00445122726694646
2001;2;6;0.00465350146407832
2001;2;7;0.00382564444965759
2001;2;8;0.00374981639723861
2001;2;9;0.00309407988351699
2001;2;10;0.00289200474418756
2001;2;11;0.00275475475475476
2001;2;12;0.00223732605637384
2001;2;13;0.00197269648406131
2001;2;14;0.00210912425492893
2001;2;15;0.00196006370207032
2001;2;16;0.00207970922943858
2001;2;17;0.0017212749584869
2001;2;18;0.00188000991653582
2001;2;19;0.0069593257005245
2001;2;20;0.0081986201339578
2001;2;21;0.00838852527774797
2001;2;22;0.00856906469151367
2001;2;23;0.00897894800703755
2001;2;24;0.00833611859308338
2001;2;25;0.0102202307178949
2001;2;26;0.00914939500302273
2001;2;27;0.00920604285336089
2001;2;28;0.00929124274657364
2001;2;29;0.00853086139869182
2001;2;30;0.00814907823946649
2001;2;31;0.0074758733179285
2001;2;32;0.00716765595251428
2001;2;33;0.00644424504445713
2001;2;34;0.00676524896426521
2001;2;35;0.0055439418651842
2001;2;36;0.00497193753050268
2001;2;37;0.0046928101606909
2001;2;38;0.00468054464519508
2001;2;39;0.00478721591877066
2001;2;40;0.00348404604543266
2001;2;41;0.00384540756028294
2001;2;42;0.00343787272854838
2001;2;43;0.00273653004481945
2001;2;44;0.00279526006207878
2001;2;45;0.00296314161921907
2001;2;46;0.0022805805114029
2001;2;47;0.00222251620584733
2001;2;48;0.00199755471750099
2001;2;49;0.00184724811822388
2001;2;50;0.00189454839354463
2001;2;51;0.00182455787949548
2001;2;52;0.00152271652628289
2001;2;53;0.00151457781143506
