year;sex;age;pop;immig;emig;born;dead
2000;2;50;59785;170;127;0;120
2000;2;51;62442;147;128;0;158
2000;2;52;64779;173;123;0;178
2000;2;53;65194;175;105;0;158
2000;2;54;65819;147;101;0;203
2000;2;55;64947;108;101;0;219
2000;2;56;63648;131;99;0;266
2000;2;57;59900;107;81;0;283
2000;2;58;54490;111;63;0;278
2000;2;59;48719;99;70;0;221
2000;2;60;46242;100;71;0;244
2000;2;61;46796;99;57;0;300
2000;2;62;45101;87;64;0;275
2000;2;63;42881;88;51;0;344
2000;2;64;42008;57;46;0;310
2000;2;65;39897;80;59;0;339
2000;2;66;39391;66;43;0;376
2000;2;67;38491;54;51;0;364
2000;2;68;40037;56;39;0;437
2000;2;69;39835;30;40;0;456
2000;2;70;40655;46;38;0;522
2000;2;71;39053;36;24;0;573
2000;2;72;40142;26;36;0;672
2000;2;73;38701;24;23;0;736
2000;2;74;39027;27;30;0;782
2000;2;75;39205;24;13;0;922
2000;2;76;38875;27;23;0;1071
2000;2;77;38287;15;21;0;1147
2000;2;78;37605;19;23;0;1249
2000;2;79;39020;8;18;0;1463
2000;2;80;39200;18;17;0;1781
2000;2;81;30516;6;22;0;1652
2000;2;82;28804;8;7;0;1710
2000;2;83;27564;7;10;0;1826
2000;2;84;24955;7;6;0;1903
2000;2;85;22862;6;8;0;2096
2000;2;86;21226;7;8;0;2135
2000;2;87;18783;2;6;0;2224
2000;2;88;16771;4;5;0;2196
2000;2;89;13880;1;5;0;2144
2000;2;90;11582;2;3;0;2022
2000;2;91;9759;4;0;0;1913
2000;2;92;7627;2;3;0;1738
2000;2;93;5871;0;0;0;1469
2000;2;94;4368;1;2;0;1250
2000;2;95;3122;0;0;0;985
2000;2;96;2196;0;0;0;826
2000;2;97;1541;1;0;0;617
2000;2;98;961;0;0;0;456
2000;2;99;618;0;0;0;292
2000;2;100;828;0;3;0;497
2001;1;0;47214;383;140;0;167
2001;1;1;47187;661;290;0;31
2001;1;2;45911;533;269;0;8
2001;1;3;46749;469;221;0;9
2001;1;4;47174;505;225;0;7
2001;1;5;49297;443;219;0;5
2001;1;6;53704;458;210;0;5
2001;1;7;57797;412;231;0;4
2001;1;8;60499;434;204;0;6
2001;1;9;63980;429;197;0;4
2001;1;10;65488;371;172;0;6
2001;1;11;65854;450;175;0;7
2001;1;12;62407;375;138;0;5
2001;1;13;61039;410;129;0;8
2001;1;14;56953;367;104;3;8
2001;1;15;56322;350;94;7;14
2001;1;16;54784;381;107;34;13
2001;1;17;52659;354;75;79;13
2001;1;18;51464;379;96;152;22
2001;1;19;51924;372;154;361;27
2001;1;20;51788;461;219;561;38
2001;1;21;53427;579;300;757;43
2001;1;22;52569;677;335;1052;58
2001;1;23;51300;845;370;1325;37
2001;1;24;53292;941;337;1612;42
2001;1;25;54680;976;412;2057;37
2001;1;26;57583;1071;472;2614;34
2001;1;27;60869;991;477;3056;41
2001;1;28;60499;957;505;3335;43
2001;1;29;61883;961;495;3588;45
2001;1;30;62701;968;512;3760;37
2001;1;31;60620;877;472;3672;40
