year;sex;age;rate
2000;1;0;0.0154440154440154
2000;1;1;0.0127102803738318
2000;1;2;0.010517921417333
2000;1;3;0.010069051029352
2000;1;4;0.0088799975503455
2000;1;5;0.0084302026058693
2000;1;6;0.00754113742593526
2000;1;7;0.00744272589836027
2000;1;8;0.0063136568166291
2000;1;9;0.00645631254073535
2000;1;10;0.00606134632120555
2000;1;11;0.00597678558483089
2000;1;12;0.00648135168341978
2000;1;13;0.00648484366579201
2000;1;14;0.00610954303476366
2000;1;15;0.0059525449885634
2000;1;16;0.00700277432316082
2000;1;17;0.00610609337234449
2000;1;18;0.00633450854286932
2000;1;19;0.00693217344026098
2000;1;20;0.00866004612415871
2000;1;21;0.0112482274939639
2000;1;22;0.0136456854393437
2000;1;23;0.0148658551673598
2000;1;24;0.0176109265685601
2000;1;25;0.0173657282245921
2000;1;26;0.0167008716027021
2000;1;27;0.0161115285082227
2000;1;28;0.0148291950797742
2000;1;29;0.0151359010691743
2000;1;30;0.0145479967375202
2000;1;31;0.0135833015061191
2000;1;32;0.0128687513833117
2000;1;33;0.0113239903021702
2000;1;34;0.0106258494501741
2000;1;35;0.0100690802560671
2000;1;36;0.00955259362339008
2000;1;37;0.00873768358430935
2000;1;38;0.00923637309743723
2000;1;39;0.00845531183156482
2000;1;40;0.00798549956396094
2000;1;41;0.00651909102364851
2000;1;42;0.00623551716873815
2000;1;43;0.0055469902131653
2000;1;44;0.00570270136634088
2000;1;45;0.00524270698999503
2000;1;46;0.00495962794209763
2000;1;47;0.00447304074973504
2000;1;48;0.00377113900182665
2000;1;49;0.00379406560500885
2000;1;50;0.00383101335173086
2000;1;51;0.00357426841653611
2000;1;52;0.00309432351685873
2000;1;53;0.0035831501610912
2000;1;54;0.0028952154708437
2000;1;55;0.00271621520782031
2000;1;56;0.00208994328378552
2000;1;57;0.00250545016757232
2000;1;58;0.00205801472545019
2000;1;59;0.00222341253398284
2000;1;60;0.00197899709534297
2000;1;61;0.00271358823969317
2000;1;62;0.00245299366497508
2000;1;63;0.00199850112415688
2000;1;64;0.00176242072209604
2000;1;65;0.00184377272255116
2000;1;66;0.0021631982475356
2000;1;67;0.00188657994030523
2000;1;68;0.00151881256472213
2000;1;69;0.0012975656540013
2000;1;70;0.00133363600249702
2000;1;71;0.00130656847606604
2000;1;72;0.00121362815617322
2000;1;73;0.00083678118172098
2000;1;74;0.000936826655841114
2000;1;75;0.000820241024670326
2000;1;76;0.000491400491400491
2000;1;77;0.000332352892301045
2000;1;78;0.000639374833496137
2000;1;79;0.000423168473948691
2000;1;80;0.000609767033124697
2000;1;81;0.000469582775703787
2000;1;82;0.000210631631605276
2000;1;83;0.000343269065736026
2000;1;84;0.000456130062229173
2000;1;85;0.000378644452858766
2000;1;86;0.000252801887587427
2000;1;87;0.00049657364187109
2000;1;88;0.000364387222154743
2000;1;89;0
2000;1;90;0.00055452865064695
2000;1;91;0.000478869867113612
2000;1;92;0.000325414904002603
2000;1;93;0
2000;1;94;0
2000;1;95;0
2000;1;96;0
2000;1;97;0
2000;1;98;0
2000;1;99;0
