year;sex;age;rate
2000;1;0;0.00672848624808437
2000;1;1;0.000705435130383863
2000;1;2;0.000241576258677035
2000;1;3;0.000183281031277895
2000;1;4;0.000107022540555322
2000;1;5;0.000114911598382143
2000;1;6;0.000101898858423505
2000;1;7;0.0000974231681969917
2000;1;8;0.000079846633749448
2000;1;9;0.000109658769706349
2000;1;10;0.000146144209072754
2000;1;11;0.000133872424060772
2000;1;12;0.000102891349488293
2000;1;13;0.00016702344688353
2000;1;14;0.000166043497557935
2000;1;15;0.000259701636842818
2000;1;16;0.000299584868623641
2000;1;17;0.00034240689450737
2000;1;18;0.000457990438354835
2000;1;19;0.000596870824541668
2000;1;20;0.000721720626523306
2000;1;21;0.000656780879009337
2000;1;22;0.000790195574487578
2000;1;23;0.000793184165934741
2000;1;24;0.000710736942939621
2000;1;25;0.000706665655178846
2000;1;26;0.000688952805387295
2000;1;27;0.000692069613138144
2000;1;28;0.000601718597310701
2000;1;29;0.000716309059039692
2000;1;30;0.000637941942866202
2000;1;31;0.000638906974679473
2000;1;32;0.000767171164880422
2000;1;33;0.000772210112198887
2000;1;34;0.000832717032092731
2000;1;35;0.000875492314884587
2000;1;36;0.000922296619812721
2000;1;37;0.000978808394291501
2000;1;38;0.00108661156626044
2000;1;39;0.00118730810767734
2000;1;40;0.00134705902803153
2000;1;41;0.00129514875916702
2000;1;42;0.00154925275503254
2000;1;43;0.00165359358741518
2000;1;44;0.00178277215769308
2000;1;45;0.00196265655579808
2000;1;46;0.00206051909615922
2000;1;47;0.00242392356099819
2000;1;48;0.00279090190173294
2000;1;49;0.00284291778809919
2000;1;50;0.00293004036656846
2000;1;51;0.00352004327706921
2000;1;52;0.00365431831358512
2000;1;53;0.00424954826262678
2000;1;54;0.00475667125863889
2000;1;55;0.00517287497438752
2000;1;56;0.00551158820810248
2000;1;57;0.0063142307754826
2000;1;58;0.00679137244995112
2000;1;59;0.00767554100467179
2000;1;60;0.00857268607351418
2000;1;61;0.00922865117926327
2000;1;62;0.00988660252249671
2000;1;63;0.0111243128834466
2000;1;64;0.0131546536020154
2000;1;65;0.0145840241478219
2000;1;66;0.0153521346016369
2000;1;67;0.0177982741221456
2000;1;68;0.0189966240764267
2000;1;69;0.0221245044731367
2000;1;70;0.023935351914463
2000;1;71;0.0262194454880377
2000;1;72;0.0300546501660283
2000;1;73;0.0326842716452123
2000;1;74;0.0361355088601452
2000;1;75;0.0407304694472573
2000;1;76;0.0447644544618884
2000;1;77;0.0499305603077924
2000;1;78;0.055790019129709
2000;1;79;0.0609886971809618
2000;1;80;0.0705968192532739
2000;1;81;0.0759054433155269
2000;1;82;0.0874088034244841
2000;1;83;0.0964964175827967
2000;1;84;0.107735384537341
2000;1;85;0.119030171549505
2000;1;86;0.134042231677026
2000;1;87;0.14985669557557
2000;1;88;0.162407095519776
2000;1;89;0.17916217021347
2000;1;90;0.198190787757202
2000;1;91;0.213277961614185
