age;man;woman;NCD
13;212936.35246861711;77590.71794871794;cvd
14;212936.35246861711;77590.71794871794;cvd
15;103170.48377192982;126672.82244897958;cvd
16;103170.48377192982;126672.82244897958;cvd
17;103170.48377192982;126672.82244897958;cvd
18;103170.48377192982;126672.82244897958;cvd
19;103170.48377192982;126672.82244897958;cvd
20;303223.7723590586;223257.69803685896;cvd
21;303223.7723590586;223257.69803685896;cvd
22;303223.7723590586;223257.69803685896;cvd
23;303223.7723590586;223257.69803685896;cvd
24;303223.7723590586;223257.69803685896;cvd
25;135158.681608249;63939.70515457626;cvd
26;135158.681608249;63939.70515457626;cvd
27;135158.681608249;63939.70515457626;cvd
28;135158.681608249;63939.70515457626;cvd
29;135158.681608249;63939.70515457626;cvd
30;165773.92254048583;108033.79028514786;cvd
31;165773.92254048583;108033.79028514786;cvd
32;165773.92254048583;108033.79028514786;cvd
33;165773.92254048583;108033.79028514786;cvd
34;165773.92254048583;108033.79028514786;cvd
35;149323.0719565197;147572.62993076583;cvd
36;149323.0719565197;147572.62993076583;cvd
37;149323.0719565197;147572.62993076583;cvd
38;149323.0719565197;147572.62993076583;cvd
39;149323.0719565197;147572.62993076583;cvd
40;100168.36472637313;139082.4799395161;cvd
41;100168.36472637313;139082.4799395161;cvd
42;100168.36472637313;139082.4799395161;cvd
43;100168.36472637313;139082.4799395161;cvd
44;100168.36472637313;139082.4799395161;cvd
45;112787.66613467249;110678.80484973226;cvd
46;112787.66613467249;110678.80484973226;cvd
47;112787.66613467249;110678.80484973226;cvd
48;112787.66613467249;110678.80484973226;cvd
49;112787.66613467249;110678.80484973226;cvd
50;106361.0945814481;124253.72434650724;cvd
51;106361.0945814481;124253.72434650724;cvd
52;106361.0945814481;124253.72434650724;cvd
53;106361.0945814481;124253.72434650724;cvd
54;106361.0945814481;124253.72434650724;cvd
55;97657.6432460318;98647.5934542106;cvd
56;97657.6432460318;98647.5934542106;cvd
57;97657.6432460318;98647.5934542106;cvd
58;97657.6432460318;98647.5934542106;cvd
59;97657.6432460318;98647.5934542106;cvd
60;96806.71959025736;92865.27097996074;cvd
61;96806.71959025736;92865.27097996074;cvd
62;96806.71959025736;92865.27097996074;cvd
63;96806.71959025736;92865.27097996074;cvd
64;96806.71959025736;92865.27097996074;cvd
65;79833.15543592766;90785.45360420714;cvd
66;79833.15543592766;90785.45360420714;cvd
67;79833.15543592766;90785.45360420714;cvd
68;79833.15543592766;90785.45360420714;cvd
69;79833.15543592766;90785.45360420714;cvd
70;76904.67175687026;87028.99454797314;cvd
71;76904.67175687026;87028.99454797314;cvd
72;76904.67175687026;87028.99454797314;cvd
73;76904.67175687026;87028.99454797314;cvd
74;76904.67175687026;87028.99454797314;cvd
75;76171.40333388511;87451.03126604705;cvd
76;76171.40333388511;87451.03126604705;cvd
77;76171.40333388511;87451.03126604705;cvd
78;76171.40333388511;87451.03126604705;cvd
79;76171.40333388511;87451.03126604705;cvd
80;74027.95308733317;85542.30055920385;cvd
81;74027.95308733317;85542.30055920385;cvd
82;74027.95308733317;85542.30055920385;cvd
83;74027.95308733317;85542.30055920385;cvd
84;74027.95308733317;85542.30055920385;cvd
85;79490.21993787645;88190.2612243578;cvd
86;79490.21993787645;88190.2612243578;cvd
87;79490.21993787645;88190.2612243578;cvd
88;79490.21993787645;88190.2612243578;cvd
89;79490.21993787645;88190.2612243578;cvd
90;79490.21993787645;88190.2612243578;cvd
91;79490.21993787645;88190.2612243578;cvd
92;79490.21993787645;88190.2612243578;cvd
93;79490.21993787645;88190.2612243578;cvd
94;79490.21993787645;88190.2612243578;cvd
95;79490.21993787645;88190.2612243578;cvd
96;79490.21993787645;88190.2612243578;cvd
97;79490.21993787645;88190.2612243578;cvd
98;79490.21993787645;88190.2612243578;cvd
99;79490.21993787645;88190.2612243578;cvd
100;79490.21993787645;88190.2612243578;cvd
